id,text,commodity_id,writer,date,recommend
661,"�?/12 Update�?00+ style 2016 S-7XL NEW PLUS SIZE FASHION LADY DRESS OL work dress blouse TOP\
Go \
·Option :\
GROUP:MI / TYPE:X7(+S$6)",1,*******,2016/12/20,Recommend
662,"Item received in good condition, will come again in future.",1,*******,2016/12/20,Highly Recommend
663,Overall good as shown in pic,1,*******,2016/12/20,Highly Recommend
664,wool. too hot for a country like singapore. Size was misleading. it came too big.,1,*******,2016/12/20,Not Recommend
665,Thanks seller received.,1,*******,2016/12/20,Highly Recommend
666,Quality ck Sister good for the price paid.,1,*******,2016/12/20,Highly Recommend
667,Thanks...  I n my friend had brought 15 pcs..  So far so good..,1,*******,2016/12/20,Highly Recommend
668,exactly the way i expected so happy w purchase,1,*******,2016/12/20,Highly Recommend
669,"Items received in good condition a week after payment! For the price, worth it! Will definitely shop again with seller! :)",1,*******,2016/12/20,Highly Recommend
670,Multiple purchase from seller already...item received well but cutting was quite small...,1,*******,2016/12/20,Highly Recommend
671,Quality so so but it's cheap so give and take a little,1,*******,2016/12/20,Highly Recommend
672,Apparels are cheap and of good quality . Delivery time is acceptable as well .,1,*******,2016/12/20,Highly Recommend
673,Comfortable blouse thanks seller,1,*******,2016/12/20,Highly Recommend
674,"The guy called Sunday and insisted to have it delivered on that day even I asked him that the adresss was my workplace and it's close . He said he won't deliver on the next day . Threaten me if I won't make it happen on that day . He will deliver weeks after . So so rude . He even told me he will just put outside the door. What an inconsiderate man !So I gave him my home address but it took him hours to reach after he told me he is on his way . Messed my schedule and all . I messaged and called but no answer.\
I so hate waiting and messaging without any news. Seller better find a good delivery company , you might loss costumers because of this rude delivery guys .",1,*******,2016/12/19,netural
675,Took 1 week delivery which I find rather long.,1,*******,2016/12/19,Recommend
676,Received the items! Great!,1,*******,2016/12/19,Recommend
677,Actual material and picture looks different,1,*******,2016/12/19,Highly Recommend
678,Bought 4 pc.  This MU X18 collar big but neckline opening small.. not quite in proportion.    The other three ok.,1,*******,2016/12/19,Recommend
679,Fast delivery. Value for money. All 3 pieces can wear. Thanks seller.,1,*******,2016/12/19,Highly Recommend
680,goodgoodgoodgoodgoodgoodgoodgoodgoodgood,1,*******,2016/12/19,Highly Recommend
681,"All items received in good condition. \
Quality of items is good, worth the cost. \
Will buy more if there's more design for short sleeve.",1,*******,2016/12/19,Highly Recommend
682,so so the outfit...delivered late,1,*******,2016/12/19,netural
683,Fast delivery .. did not expect that it's in a week for delivery .. thanks seller,1,*******,2016/12/19,Recommend
684,Only sweater is worth buying.. the dress quality is so so only.,1,*******,2016/12/19,Recommend
685,Item received in good order on Sunday. Quality is not as good as other sellers and sizing seems to be smaller tha stated.,1,*******,2016/12/19,netural
686,"Quality good, love all the clothes I ordered. Will order more :) \
Price reasonable",1,*******,2016/12/19,Highly Recommend
687,Delivered item drop off riser without note and phone call,1,*******,2016/12/18,Not Recommend
688,fast delivery. items received in good condition,1,*******,2016/12/18,Highly Recommend
689,Fast delivery and nicely packed... all fit nicely..,1,*******,2016/12/18,Highly Recommend
690,item received as described but has yet to try it out,1,*******,2016/12/18,Recommend
691,Delivery was super fast.. have not open but hope the materials are good,1,*******,2016/12/18,Highly Recommend
692,Overalll satisfied with my purchase,1,*******,2016/12/18,Highly Recommend
693,Received in good condition~But too big due to selected wrong size~Slimmed down a bit but stil follow previous dimension~Dunno whether can exchange or not~Quality was not bad~Juz dat de delivery guy juz leave it outside my unit without inform~,1,*******,2016/12/18,Recommend
694,Material very thin. So far so so,1,*******,2016/12/17,Recommend
695,"hi seller,\
\
Thank you for your fast shipping and the items not bad.",1,*******,2016/12/17,Highly Recommend
696,"Items received, yet to try.",1,*******,2016/12/17,Recommend
697,Many quite a few purchases from this seller. Nice and cheap.,1,*******,2016/12/17,Highly Recommend
698,Ok n good condition nice,1,*******,2016/12/17,Highly Recommend
699,"Received in good condition. Material rough, not worth it.",1,*******,2016/12/17,netural
700,Item received. Thanks.,1,*******,2016/12/17,Highly Recommend
701,All fit well. The shorts I ordered 1 size bigger but it is really very big...nice and cheap...good deal.,1,*******,2016/12/17,Recommend
702,Just received yet to try it out.,1,*******,2016/12/17,Recommend
703,Delivery take longer time. Order on 3rd and receive on 16th. On 6th they already send out. But I received it 10 day later.,1,*******,2016/12/17,Recommend
704,"Received goods as per order, love it, thanks.",1,*******,2016/12/17,Highly Recommend
705,Loving every piece!thank you,1,*******,2016/12/17,Highly Recommend
706,Shipment take ard 2 weeks but the material very good and nice . Size also meet my measurement . Feel comfortable when wearing,1,*******,2016/12/17,Highly Recommend
707,"大概七天左右就收到了可是我要的是黑色的裤子他们寄来一条线条的黑裤子给我我货不对办希望卖家注意点不过品质还是不错的�?,1""",*******,2016/12/17,netural,
708,Received order in good condition. Thank u seller.,1,*******,2016/12/17,Recommend
709,Always good and  very good quality and affordable price. Ships fast!,1,*******,2016/12/16,Highly Recommend
710,Fast delivery and item received as per picture. I bought one size bigger and it fix me. Suggest to buy one size bigger as cutting a bit small.,1,*******,2016/12/16,Highly Recommend
711,"Fast delivery, well packed. Haven't try yet, hope all can fix.",1,*******,2016/12/16,Highly Recommend
712,Quality of clothes is acceptable. Measurement is according to chart.,1,*******,2016/12/16,Highly Recommend
713,Delivery took less than a week! Item material is not bad too! But quite dissapointed in one skirt as size turns out to be too big than my usual size,1,*******,2016/12/16,Highly Recommend
714,"received within a week, size did match with what was stated. thanks!",1,*******,2016/12/16,Highly Recommend
715,Prompt delivery.............,1,*******,2016/12/16,Recommend
716,Received.. This is my second purchase.. Like the design so much,1,*******,2016/12/16,Highly Recommend
717,delivery can improvised..to a shorter time. thanks,1,*******,2016/12/16,Recommend
718,Items a bit shorter than picture.,1,*******,2016/12/16,Highly Recommend
719,Very fast delivery and clothes true to pictures.. will buy again...,1,*******,2016/12/16,Highly Recommend
720,nice dress and delivered with in 7 days.,1,*******,2016/12/16,Recommend
721,"thanks ☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺☺�?,1""",*******,2016/12/16,Not Recommend,
722,"Great discount, purchased 2 pairs to add on few more pockets",1,*******,2016/12/16,netural
723,Items received fast and in good condition.,1,*******,2016/12/16,Recommend
724,Item received in good condition,1,*******,2016/12/16,Highly Recommend
725,"If anyone is interested in buying the attached pictures clothes,  my advise is that get 1-2size bigger. \
The measurement given was no good. \
So sad...",1,*******,2016/12/15,netural
726,Receive items in good condition.. yet to try on.,1,*******,2016/12/15,Highly Recommend
727,"Received items with good condition, quick delivered.",1,*******,2016/12/15,Recommend
728,Late delivery. But overall material still good. Thanks,1,*******,2016/12/15,netural
729,2nd purchase from this seller. Worth the money,1,*******,2016/12/15,Highly Recommend
730,Great product:) as described.. bought many and luckily all came with right sizes.. thank you so much:),1,*******,2016/12/15,Recommend
731,All clothing just nice but the delivery is slow.,1,*******,2016/12/15,Recommend
732,Good condition and size fit perfectly,1,*******,2016/12/15,Highly Recommend
733,received item in good condition. quality ok ok only.,1,*******,2016/12/15,Recommend
734,item received really disappionted of the item and delivery service.He call and said if i'm not at home will leave the item outside of my house shoes rack.,1,*******,2016/12/15,Not Recommend
735,"Quick delivery, received item in good condition.",1,*******,2016/12/15,Recommend
736,items well received in good condition and they are in fairly good quality.,1,*******,2016/12/15,Highly Recommend
737,"Thank you, items well received",1,*******,2016/12/15,Highly Recommend
738,"Fast Delivery,recommended seller!\
Thanks Seller!",1,*******,2016/12/14,Highly Recommend
739,Item received within a week n fits me nicely! Thank u! Will order again,1,*******,2016/12/14,Highly Recommend
740,"good condition , will buy again",1,*******,2016/12/14,Recommend
741,"The materials are very lousy, i guess that's what the low price one pays will get.",1,*******,2016/12/14,netural
742,"Measurememt differs from product, size is too small can't wear",1,*******,2016/12/14,netural
743,Ordered 4 items of which 3 fitted well and cutting was ok. This particular item's sizing was off and the slit was too high up. Probably won't be able to wear it at all.,1,*******,2016/12/14,Recommend
744,Happy with the buy.. material and workmanship acceptable for the price paid for.,1,*******,2016/12/14,Recommend
745,Goood................,1,*******,2016/12/14,Highly Recommend
746,quality acceptable considering the price...,1,*******,2016/12/14,Recommend
747,"The size is on the smaller size, need to order 1 size bigger",1,*******,2016/12/14,netural
748,Items I order is a bit too big in size.,1,*******,2016/12/14,Highly Recommend
749,"Received in good condition.  Yet to put on, hope it fits",1,*******,2016/12/14,Highly Recommend
750,The quality of the product is great! Would buy again,1,*******,2016/12/14,Recommend
751,happy with it...very nice and comfy,1,*******,2016/12/14,Highly Recommend
752,"Have Bought from this seller for a long long time.\
Bought 4 pieces and realised I already had purchased o e similar piece but it's fine. The shorts pant is pretty thick good for cold country. The jersey with socks print is perfect, loved it so much. The white jersey, very nice design but don't quite like the matwrial, it's not cotton, such material if you perspire, it makes it quite uncomfortable. Overall very happy with the purchase.",1,*******,2016/12/14,Highly Recommend
753,Very nice. Good fitting.,1,*******,2016/12/14,Recommend
754,RECEIVED ALL MY ORDER. THANK YOU SELLER,1,*******,2016/12/14,Highly Recommend
755,Items received. Thanks seller !,1,*******,2016/12/14,Recommend
756,Delivery within 1 week. Good material considering the price. Good seller. Will recommend.,1,*******,2016/12/14,Highly Recommend
757,"Delivery within 1week, very fast. Good material considering the price. Had ordered another 2 pieces. Good seller. I recommend.",1,*******,2016/12/14,Highly Recommend
758,Okokokokokokokokokokpkokokokokok,1,*******,2016/12/14,netural
